method_name,text_col,val_experiment,acc_mean,acc_std,macro_f1_mean,macro_f1_std,seeds,total_params,trainable_params,macro_f1_base,delta_macro_f1_mean,delta_macro_f1_std,method_family,source_run
MLP_MaskAug,structured_features,E1_clean,0.688455778438693,0.000255739535805,0.7037426541249405,0.000389049250151,3,216583.0,216583.0,,0.0,0.0,tabular,lightweight_tabular_full_3seed
tfidf_svm,text,E1_clean,0.73535,0.0,0.7010114331309435,0.0,3,3969.0,3969.0,0.7010114331309435,0.0,0.0,text_baseline,lightweight_text_medium_3seed
MLP,structured_features,E1_clean,0.6632285009175473,0.005704956106858,0.6766394543952864,0.0071911491947028,3,216583.0,216583.0,,0.0,0.0,tabular,lightweight_tabular_full_3seed
tfidf_logreg,text,E1_clean,0.69555,0.010283603454042712,0.6258246160990493,0.009584727780039192,3,3969.0,3969.0,0.6258246160990493,0.0,0.0,text_baseline,lightweight_text_medium_3seed
Logistic Regression,structured_features,E1_clean,0.5293931531987597,0.0,0.5121239547131095,0.0,3,1141.0,1141.0,,0.0,0.0,tabular,lightweight_tabular_full_3seed
Linear SVM,structured_features,E1_clean,0.5056002024931975,0.0,0.4766018911367999,0.0,3,1141.0,1141.0,,0.0,0.0,tabular,lightweight_tabular_full_3seed
MLP_MaskAug,structured_features,E3_mask_10,0.6551287730177814,0.0069052574147712,0.6659560713687692,0.0078378753874667,3,216583.0,216583.0,,-0.0377865827561712,0.0082268278118881,tabular,lightweight_tabular_full_3seed
tfidf_svm,text,E3_mask_10,0.7044,0.0,0.6269539236078675,0.0,3,3969.0,3969.0,0.7010114331309435,-0.07405750952307599,0.0,text_baseline,lightweight_text_medium_3seed
MLP,structured_features,E3_mask_10,0.5863865510767998,0.002418167940655,0.5864811511306036,0.0034156579462793,3,216583.0,216583.0,,-0.0901583032646827,0.0038971604125439,tabular,lightweight_tabular_full_3seed
tfidf_logreg,text,E3_mask_10,0.6762333333333332,0.007261255630628495,0.5698841814125962,0.012286061833300329,3,3969.0,3969.0,0.6258246160990493,-0.055940434686453044,0.0,text_baseline,lightweight_text_medium_3seed
Logistic Regression,structured_features,E3_mask_10,0.5080048092134405,0.0,0.4900795551994129,0.0,3,1141.0,1141.0,,-0.0220443995136965,0.0,tabular,lightweight_tabular_full_3seed
Linear SVM,structured_features,E3_mask_10,0.4937037271404164,0.0,0.4654628630656672,0.0,3,1141.0,1141.0,,-0.0111390280711326,0.0,tabular,lightweight_tabular_full_3seed
MLP_MaskAug,structured_features,E3_mask_30,0.6053491953004704,0.0089950631448645,0.6097734357813286,0.0115282451280317,3,216583.0,216583.0,,-0.0939692183436119,0.0119172941483625,tabular,lightweight_tabular_full_3seed
tfidf_svm,text,E3_mask_30,0.65415,0.0,0.5363544991967804,0.0,3,3969.0,3969.0,0.7010114331309435,-0.16465693393416314,0.0,text_baseline,lightweight_text_medium_3seed
tfidf_logreg,text,E3_mask_30,0.6348333333333334,0.002136195996001649,0.4962419893750401,0.011906125830920544,3,3969.0,3969.0,0.6258246160990493,-0.12958262672400916,0.0,text_baseline,lightweight_text_medium_3seed
MLP,structured_features,E3_mask_30,0.4778206669619693,0.0022736498415771,0.4675070865452175,0.0030114614359141,3,216583.0,216583.0,,-0.2091323678500688,0.0089646740152341,tabular,lightweight_tabular_full_3seed
Logistic Regression,structured_features,E3_mask_30,0.4736442447636524,0.0,0.4545450759496707,0.0,3,1141.0,1141.0,,-0.0575788787634388,0.0,tabular,lightweight_tabular_full_3seed
Linear SVM,structured_features,E3_mask_30,0.47965576156426,0.0,0.4509393618609311,0.0,3,1141.0,1141.0,,-0.0256625292758688,0.0,tabular,lightweight_tabular_full_3seed
