dataset,method,condition,score,clean_score,drop_from_clean
CICIDS2017,MLP MaskAug,Clean,0.9814992402510933,0.9814992402510933,0.0
CICIDS2017,MLP MaskAug,Mask30,0.932434279899556,0.9814992402510933,0.04906496035153729
CICIDS2017,MLP MaskAug,Mask50,0.8728806121065557,0.9814992402510933,0.1086186281445376
CICIDS2017,MLP MaskAug,Block30,0.9320695055281756,0.9814992402510933,0.04942973472291767
CICIDS2017,MLP MaskAug,Block50,0.867254889750015,0.9814992402510933,0.11424435050107828
CICIDS2017,MLP MaskAug,Noise30,0.9770553704894316,0.9814992402510933,0.004443869761661667
CICIDS2017,MLP MaskAug,Noise50,0.9678329981754108,0.9814992402510933,0.013666242075682455
CICIDS2017,MLP,Clean,0.969662709691358,0.969662709691358,0.0
CICIDS2017,MLP,Mask30,0.7212025875612987,0.969662709691358,0.2484601221300593
CICIDS2017,MLP,Mask50,0.6392787201616094,0.969662709691358,0.3303839895297487
CICIDS2017,MLP,Block30,0.7235475368006309,0.969662709691358,0.24611517289072715
CICIDS2017,MLP,Block50,0.637359548967087,0.969662709691358,0.332303160724271
CICIDS2017,MLP,Noise30,0.9463323051524116,0.969662709691358,0.023330404538946414
CICIDS2017,MLP,Noise50,0.8963704109502529,0.969662709691358,0.0732922987411051
CICIDS2017,TF-IDF + Logistic Regression,Clean,0.9478134894126824,0.9478134894126824,0.0
CICIDS2017,TF-IDF + Logistic Regression,Mask30,0.6116055729030218,0.9478134894126824,0.33620791650966064
CICIDS2017,TF-IDF + Logistic Regression,Mask50,0.337026374820306,0.9478134894126824,0.6107871145923764
CICIDS2017,TF-IDF + Logistic Regression,Block30,0.6311165716346778,0.9478134894126824,0.31669691777800457
CICIDS2017,TF-IDF + Logistic Regression,Block50,0.3696016708599024,0.9478134894126824,0.57821181855278
CICIDS2017,TF-IDF + Logistic Regression,Noise30,0.9246664574068262,0.9478134894126824,0.023147032005856216
CICIDS2017,TF-IDF + Logistic Regression,Noise50,0.9163219438201312,0.9478134894126824,0.031491545592551184
UNSW,MLP MaskAug,Clean,0.7036080768210563,0.7036080768210563,0.0
UNSW,MLP MaskAug,Mask30,0.6019162327628728,0.7036080768210563,0.10169184405818354
UNSW,MLP MaskAug,Mask50,0.5522452036456412,0.7036080768210563,0.15136287317541508
UNSW,MLP MaskAug,Block30,0.6142060526865458,0.7036080768210563,0.08940202413451048
UNSW,MLP MaskAug,Block50,0.561784873115922,0.7036080768210563,0.14182320370513435
UNSW,MLP MaskAug,Noise30,0.6287805918311894,0.7036080768210563,0.07482748498986691
UNSW,MLP MaskAug,Noise50,0.5934225746879882,0.7036080768210563,0.1101855021330681
UNSW,MLP,Clean,0.6766394543952864,0.6766394543952864,0.0
UNSW,MLP,Mask30,0.4675070865452175,0.6766394543952864,0.2091323678500689
UNSW,MLP,Mask50,0.3796540200989819,0.6766394543952864,0.2969854342963045
UNSW,MLP,Block30,0.5156547353902375,0.6766394543952864,0.16098471900504885
UNSW,MLP,Block50,0.4218829071968075,0.6766394543952864,0.2547565471984789
UNSW,MLP,Noise30,0.5939579515196871,0.6766394543952864,0.08268150287559928
UNSW,MLP,Noise50,0.5515329653969417,0.6766394543952864,0.12510648899834464
UNSW,TF-IDF + Logistic Regression,Clean,0.7722679925235116,0.7722679925235116,0.0
UNSW,TF-IDF + Logistic Regression,Mask30,0.6752332141541355,0.7722679925235116,0.09703477836937613
UNSW,TF-IDF + Logistic Regression,Mask50,0.5975461791047314,0.7722679925235116,0.17472181341878024
UNSW,TF-IDF + Logistic Regression,Block30,0.6565782016365337,0.7722679925235116,0.11568979088697795
UNSW,TF-IDF + Logistic Regression,Block50,0.5811582335800544,0.7722679925235116,0.19110975894345728
UNSW,TF-IDF + Logistic Regression,Noise30,0.676722364659639,0.7722679925235116,0.09554562786387266
UNSW,TF-IDF + Logistic Regression,Noise50,0.6512450071926504,0.7722679925235116,0.1210229853308612
