dataset,method_name,val_experiment,condition,macro_f1_mean
CICIDS2017,MLP MaskAug,E1_clean,Clean,0.9814992402510933
CICIDS2017,MLP MaskAug,E3_mask_30,Mask30,0.932434279899556
CICIDS2017,MLP MaskAug,E3_mask_50,Mask50,0.8728806121065557
CICIDS2017,MLP MaskAug,E3_block_30,Block30,0.9320695055281756
CICIDS2017,MLP MaskAug,E3_block_50,Block50,0.867254889750015
CICIDS2017,MLP MaskAug,E4_noise_30,Noise30,0.9770553704894316
CICIDS2017,MLP MaskAug,E4_noise_50,Noise50,0.9678329981754108
CICIDS2017,MLP,E1_clean,Clean,0.969662709691358
CICIDS2017,MLP,E3_mask_30,Mask30,0.7212025875612987
CICIDS2017,MLP,E3_mask_50,Mask50,0.6392787201616094
CICIDS2017,MLP,E3_block_30,Block30,0.7235475368006309
CICIDS2017,MLP,E3_block_50,Block50,0.637359548967087
CICIDS2017,MLP,E4_noise_30,Noise30,0.9463323051524116
CICIDS2017,MLP,E4_noise_50,Noise50,0.8963704109502529
CICIDS2017,TF-IDF + Logistic Regression,E1_clean,Clean,0.9478134894126824
CICIDS2017,TF-IDF + Logistic Regression,E3_mask_30,Mask30,0.6116055729030218
CICIDS2017,TF-IDF + Logistic Regression,E3_mask_50,Mask50,0.337026374820306
CICIDS2017,TF-IDF + Logistic Regression,E3_block_30,Block30,0.6311165716346778
CICIDS2017,TF-IDF + Logistic Regression,E3_block_50,Block50,0.3696016708599024
CICIDS2017,TF-IDF + Logistic Regression,E4_noise_30,Noise30,0.9246664574068262
CICIDS2017,TF-IDF + Logistic Regression,E4_noise_50,Noise50,0.9163219438201312
