dataset,method_name,val_experiment,condition,macro_f1_mean
UNSW,MLP MaskAug,E1_clean,Clean,0.7036080768210563
UNSW,MLP MaskAug,E3_mask_30,Mask30,0.6019162327628728
UNSW,MLP MaskAug,E3_mask_50,Mask50,0.5522452036456412
UNSW,MLP MaskAug,E3_block_30,Block30,0.6142060526865458
UNSW,MLP MaskAug,E3_block_50,Block50,0.561784873115922
UNSW,MLP MaskAug,E4_noise_30,Noise30,0.6287805918311894
UNSW,MLP MaskAug,E4_noise_50,Noise50,0.5934225746879882
UNSW,MLP,E1_clean,Clean,0.6766394543952864
UNSW,MLP,E3_mask_30,Mask30,0.4675070865452175
UNSW,MLP,E3_mask_50,Mask50,0.3796540200989819
UNSW,MLP,E3_block_30,Block30,0.5156547353902375
UNSW,MLP,E3_block_50,Block50,0.4218829071968075
UNSW,MLP,E4_noise_30,Noise30,0.5939579515196871
UNSW,MLP,E4_noise_50,Noise50,0.5515329653969417
UNSW,TF-IDF + Logistic Regression,E1_clean,Clean,0.7722679925235116
UNSW,TF-IDF + Logistic Regression,E3_mask_30,Mask30,0.6752332141541355
UNSW,TF-IDF + Logistic Regression,E3_mask_50,Mask50,0.5975461791047314
UNSW,TF-IDF + Logistic Regression,E3_block_30,Block30,0.6565782016365337
UNSW,TF-IDF + Logistic Regression,E3_block_50,Block50,0.5811582335800544
UNSW,TF-IDF + Logistic Regression,E4_noise_30,Noise30,0.676722364659639
UNSW,TF-IDF + Logistic Regression,E4_noise_50,Noise50,0.6512450071926504
